PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,sample,silicoDArT_cluster,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,best_k
-10.441890517927574,-1.3406507586636975,-2.186378770652954,3.2389981556315424,-1.1900870576798033,-7.597218276481941,0.956504479039528,9.634309737067525,-7.355846567882318,-0.4084486138675602,TSs201,0,0,0,2,2,4,5,2
-0.26877612872973156,13.743526431613606,-10.149637882356004,-17.859921624897886,6.070626750219882,-7.753638713175029,-3.6611783673974965,6.719552277325624,14.907533585576356,-1.236746973287272,TSs217,0,0,0,3,2,5,6,2
3.912939240014823,-0.7257277953109346,-4.6398565426057905,6.305052437174916,3.654962930497128,-0.8714703362687803,2.9397418145238543,2.384747067602643,4.493960396631712,17.43542076921851,TSs168,0,0,0,2,0,2,3,2
-8.316299533144537,11.375800980379823,-4.388619239525088,2.24342262370614,-4.065393565554845,4.57314564304205,3.649021878488378,-0.5945113893293863,5.484873244934898,-13.259911368965511,TSs98,0,0,0,3,1,0,6,2
1.615456051136127,2.930678062067801,-12.372978069901073,4.248312350324796,8.422500332247319,-8.037875216114616,0.31151429853422563,-3.9651488748820207,2.821927212935776,0.6952617793951316,TSs116,0,0,0,2,2,0,6,2
-9.557748752211515,-5.228526549582381,-2.104086030035053,-1.8957204149711975,-7.767590763947789,9.881493826180712,-5.44670774425357,-0.9514205064370359,3.1336708383252563,4.767970163976452,TSs53,0,0,1,0,4,4,5,2
-8.72103919753763,1.4067887865921715,5.174498957539359,-3.2189001998131728,0.9882272631925771,3.4704351456150064,3.6916925190750605,-0.7097322059352649,4.382746689298323,-0.6675227217618152,TSs63A,0,0,0,3,1,3,0,2
-1.315448689231689,3.608795496893614,7.336713219705322,-3.344010916310447,0.2312364058972722,-2.657246939663591,-5.590585802813643,3.9641943040891605,-1.0851865012480042,-0.45549628511032014,TSs158,0,0,0,3,0,2,2,2
1.8396685664184333,2.759997479682416,-1.036468432658739,12.115642826817721,7.911037061746788,4.288803649386592,-11.540317414704285,-9.298514829960888,-0.5966497305412664,0.4350749521278282,TSs269,0,0,0,2,0,2,2,2
-8.512130110339951,-0.10180776626169531,-3.9076360455007393,10.857195346945826,0.8548989638097547,4.16228233677812,-3.960657820784524,-3.5840714617997027,0.33057220356630673,-1.6894876866187092,TSs317,0,0,0,2,0,0,2,2
7.510325541910678,-2.593082961632768,-7.731433873419898,-4.176112401392422,-0.47197174532595815,-3.251204933287037,1.8968709704546334,-9.543054936929359,-7.142053144698363,4.118607928732559,TSs49A,0,0,0,2,2,2,3,2
-9.043878059424891,13.326418827954026,3.80872239887577,-9.089464861552162,5.884671455931325,11.80605235543033,1.6641010415032829,0.1951556963318,2.6292842592908126,11.618779535382128,TSs417,0,0,0,3,1,3,0,2
6.43228691704514,1.6648858975168883,5.899377788483654,8.942162634115471,-1.7810370716079802,-4.84527902847143,-5.20788055416722,1.4768437232610987,4.780868059011571,3.722290454737812,TSs195,0,0,0,2,0,2,2,2
-4.74421581230294,12.404049459300598,-8.320394479184024,-0.23133359838703982,-0.4014649691023017,-3.6067150909127217,1.3802107135354515,4.005819772758151,0.3113703784265907,-7.953075620220911,TSs371,0,0,0,3,2,0,6,2
-2.055642558336143,1.8687468061532773,11.336138019864645,2.242395314203524,-4.528795714365939,-0.9748053385338363,0.029940257975751977,1.9933730245037335,4.506999093546541,0.7097903135654691,TSs23,0,0,0,3,0,2,2,2
-9.730450242745546,0.5699359835031119,1.5755256046556405,9.145139153171678,-2.8400984966830323,-1.2268201428099186,1.4436623929989392,-0.6006987022576171,4.955363752240727,-1.336023586602206,TSs51,0,0,0,2,0,0,2,2
-7.529488619072285,-11.211877110271038,5.036638456870096,-5.566977744421478,-1.4491301680171924,8.463527777563481,3.135931940654099,-3.890976151348276,1.6848358949101971,-0.01404425574365365,TSs59B,0,0,1,0,4,4,5,2
17.51116791764823,0.4803089351810547,-6.3592786939103965,-1.9920497104102448,1.8018514797901664,1.44500702600146,2.7272100986474483,-3.3502089905471575,-6.968158371204005,1.1058624587578028,TSs365,1,1,2,1,3,1,3,2
3.189407080254983,3.33603693622869,11.388225858716167,2.835392170165998,-4.316099688346335,-4.262983909678314,-0.9348896377292024,0.7886092627032337,-0.43302163723769116,4.829256277760162,TSs224,0,0,0,3,0,2,2,2
