parent_A,parent_B,G_ij,cluster_A,cluster_B,Tannin_A,Tannin_B,Tannin_midparent,Tannin_absgap,Phenol_A,Phenol_B,Phenol_midparent,Phenol_absgap,Flavonoid_A,Flavonoid_B,Flavonoid_midparent,Flavonoid_absgap,Antioxidant_A,Antioxidant_B,Antioxidant_midparent,Antioxidant_absgap,Seed_Length_A,Seed_Length_B,Seed_Length_midparent,Seed_Length_absgap,Seed_Width_A,Seed_Width_B,Seed_Width_midparent,Seed_Width_absgap,Seed_Thickness_A,Seed_Thickness_B,Seed_Thickness_midparent,Seed_Thickness_absgap,Mass_of_Seeds_A,Mass_of_Seeds_B,Mass_of_Seeds_midparent,Mass_of_Seeds_absgap,Seed_Coat_Tannin_A,Seed_Coat_Tannin_B,Seed_Coat_Tannin_midparent,Seed_Coat_Tannin_absgap,Crude_Protein_A,Crude_Protein_B,Crude_Protein_midparent,Crude_Protein_absgap,Total_Oxalate_A,Total_Oxalate_B,Total_Oxalate_midparent,Total_Oxalate_absgap,Soluble_Oxalate_A,Soluble_Oxalate_B,Soluble_Oxalate_midparent,Soluble_Oxalate_absgap,Insoluble_Oxalate_A,Insoluble_Oxalate_B,Insoluble_Oxalate_midparent,Insoluble_Oxalate_absgap
TSs156A,TSs151B,0.7958023568347626,1,1,673.027286238732,,,,227.193040482138,,,,87.0933996609076,,,,129.392142398117,,,,7.666,7.776,7.721,0.10999999999999943,7.115,5.898,6.5065,1.2170000000000005,6.955,5.699,6.327,1.2560000000000002,0.2889,0.2064,0.24764999999999998,0.08249999999999999,956.650402414259,1136.7674734124,1046.7089379133295,180.117070998141,,,,,,,,,,,,,,,,
TSs361,TSs363,0.7840451436607807,1,1,697.419649368991,522.529740487655,609.9746949283231,174.88990888133605,274.975748250218,144.944952744426,209.960350497322,130.03079550579199,148.504843097067,78.598991363029,113.551917230048,69.90585173403801,224.357952411057,274.354203181557,249.356077796307,49.99625077050001,8.579,8.546,8.5625,0.03300000000000125,6.784,6.877,6.8305,0.09299999999999997,6.554,6.773,6.6635,0.21899999999999942,0.3004,0.3137,0.30705,0.013299999999999979,969.97090051681,689.818679398602,829.894789957706,280.1522211182081,36.6822429906542,31.5290495289265,34.10564625979035,5.153193461727703,853.189029158319,999.110778466456,926.1499038123875,145.921749308137,307.592219560878,409.020536900019,358.3063782304485,101.42831733914102,545.59680959744,590.090241566437,567.8435255819386,44.493431968997015
TSs363,TSs151B,0.7794702500471616,1,1,522.529740487655,,,,144.944952744426,,,,78.598991363029,,,,274.354203181557,,,,8.546,7.776,8.161,0.7699999999999996,6.877,5.898,6.387499999999999,0.9790000000000001,6.773,5.699,6.236,1.0739999999999998,0.3137,0.2064,0.26005,0.10729999999999998,689.818679398602,1136.7674734124,913.293076405501,446.9487940137981,31.5290495289265,,,,999.110778466456,,,,409.020536900019,,,,590.090241566437,,,
TSs363,TSs358,0.7754445016184164,1,1,522.529740487655,604.948240539693,563.738990513674,82.41850005203798,144.944952744426,493.280416621162,319.112684682794,348.33546387673596,78.598991363029,106.393859340583,92.49642535180601,27.794867977554006,274.354203181557,233.724883943803,254.03954356268002,40.629319237754004,8.546,8.618,8.582,0.07200000000000095,6.877,6.819,6.848,0.05799999999999983,6.773,6.798,6.7855,0.025000000000000355,0.3137,0.3188,0.31625,0.005099999999999993,689.818679398602,743.878474243588,716.848576821095,54.05979484498607,31.5290495289265,30.7540975617775,31.141573545352,0.7749519671490006,999.110778466456,1033.44238905325,1016.2765837598531,34.331610586794,409.020536900019,299.878875370553,354.44970613528596,109.14166152946603,590.090241566437,733.563513682701,661.8268776245691,143.47327211626396
TSs133,TSs358,0.6802801911689923,1,1,350.181189808862,604.948240539693,477.56471517427747,254.767050730831,211.66843466716,493.280416621162,352.474425644161,281.611981954002,124.482152977083,106.393859340583,115.438006158833,18.088293636499998,218.153587437576,233.724883943803,225.9392356906895,15.571296506227014,8.543,8.618,8.5805,0.07500000000000107,6.994,6.819,6.906499999999999,0.17499999999999982,6.831,6.798,6.814500000000001,0.03300000000000036,0.3192,0.3188,0.31899999999999995,0.00040000000000001146,705.489398780134,743.878474243588,724.683936511861,38.38907546345399,,30.7540975617775,,,,1033.44238905325,,,,299.878875370553,,,,733.563513682701,,
TSs361,TSs133,0.6801946530987809,1,1,697.419649368991,350.181189808862,523.8004195889265,347.23845956012906,274.975748250218,211.66843466716,243.322091458689,63.307313583057976,148.504843097067,124.482152977083,136.493498037075,24.022690119984006,224.357952411057,218.153587437576,221.2557699243165,6.204364973481006,8.579,8.543,8.561,0.036000000000001364,6.784,6.994,6.888999999999999,0.20999999999999996,6.554,6.831,6.692500000000001,0.27700000000000014,0.3004,0.3192,0.30979999999999996,0.018799999999999983,969.97090051681,705.489398780134,837.730149648472,264.481501736676,36.6822429906542,,,,853.189029158319,,,,307.592219560878,,,,545.59680959744,,,
TSs151B,TSs133,0.6785427074809616,1,1,,350.181189808862,,,,211.66843466716,,,,124.482152977083,,,,218.153587437576,,,7.776,8.543,8.1595,0.7669999999999995,5.898,6.994,6.446,1.096,5.699,6.831,6.265000000000001,1.1320000000000006,0.2064,0.3192,0.2628,0.11279999999999998,1136.7674734124,705.489398780134,921.128436096267,431.278074632266,,,,,,,,,,,,,,,,
TSs138B,TSs358,0.6254675518813316,1,1,858.978665615279,604.948240539693,731.9634530774861,254.0304250755861,175.220126025799,493.280416621162,334.2502713234805,318.06029059536297,111.539718004083,106.393859340583,108.966788672333,5.145858663499993,394.275470102886,233.724883943803,314.0001770233445,160.550586159083,7.93,8.618,8.274000000000001,0.6880000000000006,6.209,6.819,6.513999999999999,0.6100000000000003,6.512,6.798,6.654999999999999,0.2860000000000005,0.2498,0.3188,0.2843,0.06899999999999998,904.047672545451,743.878474243588,823.9630733945195,160.16919830186293,26.6151428555864,30.7540975617775,28.68462020868195,4.1389547061911,908.59962052182,1033.44238905325,971.021004787535,124.84276853143001,329.580619047619,299.878875370553,314.729747209086,29.70174367706602,579.019001474201,733.563513682701,656.291257578451,154.5445122085
TSs168,TSs48,0.6248083802023513,2,2,491.780246219773,410.051210993338,450.9157286065555,81.72903522643503,115.190952605561,233.506694795289,174.348823700425,118.31574218972801,108.407802391138,157.82139292278,133.114597656959,49.413590531642,143.130312354818,314.195563202729,228.66293777877348,171.065250847911,8.648,8.065,8.3565,0.5830000000000002,7.089,6.377,6.7330000000000005,0.7120000000000006,6.648,6.268,6.458,0.3799999999999999,0.3105,0.2416,0.27605,0.06889999999999999,733.963475072292,888.792343841786,811.377909457039,154.82886876949397,,,,,,,,,,,,,,,,
TSs361,TSs138B,0.6237461390588793,1,1,697.419649368991,858.978665615279,778.1991574921351,161.55901624628802,274.975748250218,175.220126025799,225.0979371380085,99.75562222441897,148.504843097067,111.539718004083,130.022280550575,36.96512509298401,224.357952411057,394.275470102886,309.31671125697153,169.917517691829,8.579,7.93,8.2545,0.6490000000000009,6.784,6.209,6.496499999999999,0.5750000000000002,6.554,6.512,6.5329999999999995,0.0420000000000007,0.3004,0.2498,0.2751,0.050600000000000006,969.97090051681,904.047672545451,937.0092865311306,65.9232279713591,36.6822429906542,26.6151428555864,31.6486929231203,10.067100135067804,853.189029158319,908.59962052182,880.8943248400695,55.410591363501,307.592219560878,329.580619047619,318.58641930424847,21.988399486741002,545.59680959744,579.019001474201,562.3079055358205,33.42219187676096
