parent_A,parent_B,r_ij_normalized,G_ij_raw,cluster_A,cluster_B,Tannin_midparent,Tannin_absgap,Phenol_midparent,Phenol_absgap,Flavonoid_midparent,Flavonoid_absgap,Antioxidant_midparent,Antioxidant_absgap,Seed_Length_midparent,Seed_Length_absgap,Seed_Width_midparent,Seed_Width_absgap,Seed_Thickness_midparent,Seed_Thickness_absgap,Mass_of_Seeds_midparent,Mass_of_Seeds_absgap,Seed_Coat_Tannin_midparent,Seed_Coat_Tannin_absgap,Crude_Protein_midparent,Crude_Protein_absgap,Total_Oxalate_midparent,Total_Oxalate_absgap,Soluble_Oxalate_midparent,Soluble_Oxalate_absgap,Insoluble_Oxalate_midparent,Insoluble_Oxalate_absgap
TSs209,TSs1A,-0.19771025419938346,-0.1773143891070307,2,2,382.89239149117793,463.1023914320176,221.3362208532519,184.76919097739636,109.39532950312461,149.98217995917148,243.7756795661722,171.0535486595836,8.239577945251414,0.498936664958066,6.551770105372598,0.09480053696103852,6.143769005489994,0.08466288023224067,0.25742257181373973,0.025404067646782047,596.464854560071,712.653725546068,32.999151441129925,4.241437042572645,,,,,,
TSs151B,TSs303,-0.19766660272596465,-0.2964858016068634,1,2,,,,,,,,,7.886199531621755,0.029448201135805263,6.083369270478736,0.15254268220094502,6.021854457955568,0.4419402348122956,0.22806577336177658,0.024604638944610485,1118.064184155125,37.40657851455012,,,,,,,,
TSs363,TSs98,-0.19644463905064044,-0.2350633953170616,1,2,751.7174174016832,457.8665875878995,137.55711980307422,15.383078747399395,124.9222826528287,91.5380314397345,325.19317657947806,101.66365216481785,8.828962656555165,0.5603571987556002,6.96070514889999,0.21976488113695414,6.8540905706384905,0.2878537927896172,0.3319470919383908,0.04174794333562093,875.660958190276,371.6845575833481,33.272504352088035,0.35491458373178375,968.8590810224435,60.503394888025014,376.8901812064805,64.26071138707704,591.9688998159636,3.7573164990529904
TSs368,TSs151B,-0.19587760040772773,-0.2187749142043047,2,1,,,,,,,,,8.34264664922673,0.8834460340741455,6.392332838665396,0.7704698185742656,6.151811979112057,0.701855277125274,0.26168619155865425,0.0918454753383659,1107.069326552855,59.396293719089954,,,,,,,,
TSs22B,TSs383,-0.1947267513457883,-0.1591625471795682,2,2,655.970596556202,26.779108787373502,150.34341960126298,20.55006366465517,142.40411137691376,43.46997811474718,334.51405445864043,11.792997562632934,8.422156792293404,0.08497909470617948,6.504369836892078,0.3343873485534852,6.382095013343751,0.1126016307088804,0.2730114315060833,0.0009770795248762454,872.327828106263,254.685691553144,31.98306734363397,9.665467437790667,,,,,,
TSs1A,TSs61,-0.19455318715777867,-0.1562789148327075,2,2,671.2820485129936,113.67692261161369,219.25005109875423,188.94153048639168,130.68483068710384,107.40317759121302,359.7084095186628,60.811911245397596,8.56771504362181,0.15733753178272813,6.756453082902114,0.31456541809799443,6.3545795772682725,0.3369582633243162,0.28571346532947434,0.031177719384687164,918.6497676060694,68.28389945407105,31.915678594899,2.0744913501107938,848.587473333563,67.41420061969598,328.7699058669865,1.657626305571,519.817567466577,69.07182692526601
TSs161,TSs282,-0.1931511992618972,-0.2229510546262065,2,2,815.5519501857418,311.95853218605,129.91698756958243,30.902361392263884,110.36521020617838,38.09489347469919,292.92715740131314,81.92890407224928,8.691397488392191,0.2751303363259492,6.600463108448041,0.1473717438212514,6.204626944995201,0.34014611000959594,0.27882949594966455,0.023805210242439145,824.9203973626554,212.444647690843,38.42841289461177,0.21131210404251277,,,,,,
TSs155,TSs266,-0.1913873573000784,-0.2011267771233309,1,2,791.9378427057832,139.86502613127925,137.05767197072794,11.865168865746881,164.87316633338105,28.229678786122093,283.9807727535166,72.03495515627938,8.523122053330448,1.5186858014322233,6.377681846589599,0.9617945386229083,6.013811484333505,0.21081057177827933,0.2664383510660068,0.10845582726126207,931.9899875114725,138.68105392995506,37.22201777726853,1.6447666816272388,,,,,,
TSs161,TSs60,-0.18926971896345596,-0.1606307649037863,2,2,685.1294756997722,572.8034811579893,286.73457228479265,344.53753082268423,142.6715509673645,26.517788047673093,317.3472771800965,130.76914362981591,8.691818176979847,0.2742889591506401,6.6125286313339915,0.12324069804935078,5.919835687275718,0.2294364054293716,0.25515752382425394,0.07114915449326029,926.7141267417395,8.857188932674944,38.233417109773605,0.178679465633806,,,,,,
TSs357,TSs98,-0.1867891472526147,-0.1675165137303571,1,2,682.9473372635423,595.4067478641812,127.66003558307503,4.411089692598978,159.36019680866983,22.662203128052226,347.11841700790774,57.8131713079585,9.083899940673703,0.05048263051852153,7.1554771612017625,0.16977914346658896,6.712280246249488,0.5714744415676218,0.35188839678700123,0.001865333638400024,998.7996968018296,125.40708036024103,35.35822549645046,3.8165277049930566,1046.9152260350554,216.61568491324886,306.3768567325965,76.76593756069099,740.5383693024605,293.381622473941
